epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.372,1.09954,4.28024,1.47565,0.56403,0.42857,0.55746,0.34369,1.11216,4.56774,1.61981,0,0,0
2,21.3288,1.00572,3.46467,1.42897,0.63041,1,0.841,0.59964,0.96951,4.30078,1.52929,1.9604e-05,1.9604e-05,1.9604e-05
3,31.9183,1.10165,3.14677,1.53625,1,0.97618,0.995,0.73942,0.7539,4.81233,1.32724,3.8416e-05,3.8416e-05,3.8416e-05
4,42.0989,0.81084,2.09209,1.32296,0.98261,1,0.995,0.74538,0.56236,5.63938,1.17584,5.6436e-05,5.6436e-05,5.6436e-05
5,51.8625,0.72388,1.62245,1.20291,0.98904,1,0.995,0.8532,0.44615,6.42252,1.08932,7.3664e-05,7.3664e-05,7.3664e-05
6,61.5984,0.67371,1.71165,1.30532,0.99217,1,0.995,0.94661,0.40476,5.63036,1.04403,9.01e-05,9.01e-05,9.01e-05
7,75.6055,0.7678,1.62403,1.2499,0.99234,1,0.995,0.94661,0.38319,5.04337,1.0255,0.000105744,0.000105744,0.000105744
8,86.3284,0.59961,1.38668,1.07138,0.98701,1,0.995,0.94661,0.37027,4.98615,1.0205,0.000120596,0.000120596,0.000120596
9,97.0284,0.61398,1.21805,1.09612,0.86901,1,0.995,0.93541,0.37448,5.10851,1.04181,0.000134656,0.000134656,0.000134656
10,107.039,0.548,1.05045,0.9902,0.86881,1,0.995,0.91727,0.39625,4.81972,1.06194,0.000147924,0.000147924,0.000147924
11,116.77,0.48132,0.90378,0.97557,0.87324,1,0.995,0.89345,0.42893,3.95731,1.09221,0.0001604,0.0001604,0.0001604
12,126.329,0.56264,1.19789,1.04389,0.98208,1,0.995,0.89765,0.44142,3.23749,1.10051,0.000172084,0.000172084,0.000172084
13,136.001,0.44737,0.93394,1.04758,0.99023,1,0.995,0.8783,0.42738,2.70634,1.08753,0.000182976,0.000182976,0.000182976
14,145.698,0.5302,0.85694,1.04303,0.98969,1,0.995,0.87581,0.4296,2.72274,1.05853,0.000193076,0.000193076,0.000193076
15,155.188,0.59017,0.8774,1.09784,0.9915,1,0.995,0.86008,0.41881,2.47125,1.07147,0.000202384,0.000202384,0.000202384
16,165.442,0.57487,0.76848,1.02174,0.9914,1,0.995,0.83377,0.42205,2.18705,1.10401,0.0002109,0.0002109,0.0002109
17,175.13,0.48817,0.755,0.96943,0.99125,1,0.995,0.81137,0.46227,1.69354,1.12375,0.000218624,0.000218624,0.000218624
18,184.555,0.43637,0.69988,0.92518,0.99125,1,0.995,0.81137,0.46227,1.69354,1.12375,0.000225556,0.000225556,0.000225556
